date_local,time_local,datetime_utc,temp_c,source
2025-10-26,21:00,2025-10-26T20:00:00Z,26.0,AEMET_ult24h
2025-10-26,22:00,2025-10-26T21:00:00Z,26.0,AEMET_ult24h
2025-10-26,23:00,2025-10-26T22:00:00Z,26.0,AEMET_ult24h
2025-10-27,00:00,2025-10-26T23:00:00Z,27.0,AEMET_ult24h
2025-10-27,01:00,2025-10-27T00:00:00Z,27.0,AEMET_ult24h
2025-10-27,02:00,2025-10-27T01:00:00Z,27.0,AEMET_ult24h
2025-10-27,03:00,2025-10-27T02:00:00Z,27.0,AEMET_ult24h
2025-10-27,04:00,2025-10-27T03:00:00Z,27.0,AEMET_ult24h
2025-10-27,05:00,2025-10-27T04:00:00Z,27.0,AEMET_ult24h
2025-10-27,06:00,2025-10-27T05:00:00Z,27.0,AEMET_ult24h
2025-10-27,07:00,2025-10-27T06:00:00Z,27.0,AEMET_ult24h
2025-10-27,08:00,2025-10-27T07:00:00Z,27.0,AEMET_ult24h
2025-10-27,09:00,2025-10-27T08:00:00Z,27.0,AEMET_ult24h
2025-10-27,10:00,2025-10-27T09:00:00Z,27.0,AEMET_ult24h
2025-10-27,11:00,2025-10-27T10:00:00Z,27.0,AEMET_ult24h
2025-10-27,12:00,2025-10-27T11:00:00Z,27.0,AEMET_ult24h
2025-10-27,13:00,2025-10-27T12:00:00Z,27.0,AEMET_ult24h
2025-10-27,14:00,2025-10-27T13:00:00Z,27.0,AEMET_ult24h
2025-10-27,15:00,2025-10-27T14:00:00Z,27.0,AEMET_ult24h
2025-10-27,16:00,2025-10-27T15:00:00Z,27.0,AEMET_ult24h
2025-10-27,17:00,2025-10-27T16:00:00Z,27.0,AEMET_ult24h
2025-10-27,18:00,2025-10-27T17:00:00Z,27.0,AEMET_ult24h
2025-10-27,19:00,2025-10-27T18:00:00Z,27.0,AEMET_ult24h
2025-10-27,20:00,2025-10-27T19:00:00Z,27.0,AEMET_ult24h
2025-10-27,21:00,2025-10-27T20:00:00Z,27.0,AEMET_ult24h
2025-10-27,22:00,2025-10-27T21:00:00Z,27.0,AEMET_ult24h
