date_local,time_local,datetime_utc,temp_c,source
2025-10-27,00:00,2025-10-26T23:00:00Z,6.3,AEMET_ult24h
2025-10-27,01:00,2025-10-27T00:00:00Z,6.8,AEMET_ult24h
2025-10-27,02:00,2025-10-27T01:00:00Z,7.3,AEMET_ult24h
2025-10-27,03:00,2025-10-27T02:00:00Z,6.1,AEMET_ult24h
2025-10-27,04:00,2025-10-27T03:00:00Z,4.5,AEMET_ult24h
2025-10-27,05:00,2025-10-27T04:00:00Z,3.4,AEMET_ult24h
2025-10-27,06:00,2025-10-27T05:00:00Z,2.3,AEMET_ult24h
2025-10-27,07:00,2025-10-27T06:00:00Z,1.7,AEMET_ult24h
2025-10-27,08:00,2025-10-27T07:00:00Z,0.9,AEMET_ult24h
2025-10-27,09:00,2025-10-27T08:00:00Z,4.5,AEMET_ult24h
2025-10-27,10:00,2025-10-27T09:00:00Z,8.5,AEMET_ult24h
2025-10-27,11:00,2025-10-27T10:00:00Z,11.5,AEMET_ult24h
2025-10-27,12:00,2025-10-27T11:00:00Z,13.9,AEMET_ult24h
2025-10-27,13:00,2025-10-27T12:00:00Z,14.7,AEMET_ult24h
2025-10-27,14:00,2025-10-27T13:00:00Z,16.1,AEMET_ult24h
2025-10-27,15:00,2025-10-27T14:00:00Z,17.4,AEMET_ult24h
2025-10-27,16:00,2025-10-27T15:00:00Z,18.1,AEMET_ult24h
2025-10-27,17:00,2025-10-27T16:00:00Z,16.4,AEMET_ult24h
2025-10-27,18:00,2025-10-27T17:00:00Z,13.5,AEMET_ult24h
2025-10-27,19:00,2025-10-27T18:00:00Z,10.2,AEMET_ult24h
2025-10-27,20:00,2025-10-27T19:00:00Z,9.0,AEMET_ult24h
2025-10-27,21:00,2025-10-27T20:00:00Z,7.7,AEMET_ult24h
2025-10-27,22:00,2025-10-27T21:00:00Z,6.1,AEMET_ult24h
2025-10-27,23:00,2025-10-27T22:00:00Z,4.5,AEMET_ult24h
2025-10-28,00:00,2025-10-27T23:00:00Z,3.9,AEMET_ult24h
2025-10-28,01:00,2025-10-28T00:00:00Z,2.4,AEMET_ult24h
2025-10-28,02:00,2025-10-28T01:00:00Z,2.5,AEMET_ult24h
2025-10-28,03:00,2025-10-28T02:00:00Z,4.6,AEMET_ult24h
2025-10-28,04:00,2025-10-28T03:00:00Z,5.1,AEMET_ult24h
2025-10-28,05:00,2025-10-28T04:00:00Z,5.3,AEMET_ult24h
2025-10-28,06:00,2025-10-28T05:00:00Z,5.6,AEMET_ult24h
2025-10-28,07:00,2025-10-28T06:00:00Z,5.2,AEMET_ult24h
2025-10-28,08:00,2025-10-28T07:00:00Z,5.1,AEMET_ult24h
2025-10-28,09:00,2025-10-28T08:00:00Z,4.8,AEMET_ult24h
2025-10-28,10:00,2025-10-28T09:00:00Z,5.7,AEMET_ult24h
2025-10-28,11:00,2025-10-28T10:00:00Z,6.8,AEMET_ult24h
2025-10-28,12:00,2025-10-28T11:00:00Z,9.6,AEMET_ult24h
2025-10-28,13:00,2025-10-28T12:00:00Z,13.3,AEMET_ult24h
2025-10-28,14:00,2025-10-28T13:00:00Z,17.8,AEMET_ult24h
2025-10-28,15:00,2025-10-28T14:00:00Z,21.1,AEMET_ult24h
2025-10-28,16:00,2025-10-28T15:00:00Z,21.6,AEMET_ult24h
2025-10-28,17:00,2025-10-28T16:00:00Z,21.1,AEMET_ult24h
2025-10-28,18:00,2025-10-28T17:00:00Z,17.5,AEMET_ult24h
2025-10-28,19:00,2025-10-28T18:00:00Z,13.0,AEMET_ult24h
2025-10-28,20:00,2025-10-28T19:00:00Z,10.6,AEMET_ult24h
2025-10-28,21:00,2025-10-28T20:00:00Z,8.7,AEMET_ult24h
2025-10-28,22:00,2025-10-28T21:00:00Z,7.0,AEMET_ult24h
2025-10-28,23:00,2025-10-28T22:00:00Z,6.7,AEMET_ult24h
2025-10-29,00:00,2025-10-28T23:00:00Z,6.7,AEMET_ult24h
2025-10-29,01:00,2025-10-29T00:00:00Z,5.9,AEMET_ult24h
2025-10-29,02:00,2025-10-29T01:00:00Z,6.9,AEMET_ult24h
2025-10-29,03:00,2025-10-29T02:00:00Z,8.1,AEMET_ult24h
2025-10-29,04:00,2025-10-29T03:00:00Z,8.8,AEMET_ult24h
2025-10-29,05:00,2025-10-29T04:00:00Z,9.9,AEMET_ult24h
2025-10-29,06:00,2025-10-29T05:00:00Z,11.2,AEMET_ult24h
