date_local,time_local,datetime_utc,temp_c,source
2026-04-12,09:00,2026-04-12T07:00:00Z,6.5,AEMET_ult24h
2026-04-12,10:00,2026-04-12T08:00:00Z,7.0,AEMET_ult24h
2026-04-12,11:00,2026-04-12T09:00:00Z,7.7,AEMET_ult24h
2026-04-12,12:00,2026-04-12T10:00:00Z,8.7,AEMET_ult24h
2026-04-12,13:00,2026-04-12T11:00:00Z,8.5,AEMET_ult24h
2026-04-12,14:00,2026-04-12T12:00:00Z,8.4,AEMET_ult24h
2026-04-12,15:00,2026-04-12T13:00:00Z,9.3,AEMET_ult24h
2026-04-12,16:00,2026-04-12T14:00:00Z,10.0,AEMET_ult24h
2026-04-12,17:00,2026-04-12T15:00:00Z,11.5,AEMET_ult24h
2026-04-12,18:00,2026-04-12T16:00:00Z,11.2,AEMET_ult24h
2026-04-12,19:00,2026-04-12T17:00:00Z,10.8,AEMET_ult24h
2026-04-12,20:00,2026-04-12T18:00:00Z,8.9,AEMET_ult24h
2026-04-12,21:00,2026-04-12T19:00:00Z,7.4,AEMET_ult24h
2026-04-12,22:00,2026-04-12T20:00:00Z,6.5,AEMET_ult24h
2026-04-12,23:00,2026-04-12T21:00:00Z,5.9,AEMET_ult24h
2026-04-13,00:00,2026-04-12T22:00:00Z,6.0,AEMET_ult24h
2026-04-13,01:00,2026-04-12T23:00:00Z,6.2,AEMET_ult24h
2026-04-13,02:00,2026-04-13T00:00:00Z,5.5,AEMET_ult24h
2026-04-13,03:00,2026-04-13T01:00:00Z,5.8,AEMET_ult24h
2026-04-13,04:00,2026-04-13T02:00:00Z,5.4,AEMET_ult24h
2026-04-13,05:00,2026-04-13T03:00:00Z,5.6,AEMET_ult24h
2026-04-13,06:00,2026-04-13T04:00:00Z,5.3,AEMET_ult24h
2026-04-13,07:00,2026-04-13T05:00:00Z,5.3,AEMET_ult24h
2026-04-13,08:00,2026-04-13T06:00:00Z,5.4,AEMET_ult24h
